SMILES,Dataset,ID,Fragments,Software,Software_Score,NEW_SMILES
CC(C)CC1=CC(=O)C(=C(OCCNc2ccc(cc2)C2Nc3ccccc3C3C=CCC23)O1)C=O,ACTIVE01,ABACT01_29,DNMT1 actives,alvaBuilder,1.0,CC(C)Cc1cc(=O)c(C=O)c(OCCNc2ccc(C3Nc4ccccc4C4C=CCC43)cc2)o1
OCCc1ccc(cc1O)N1CCC(CC1)c1ccc(cc1)C1=CC(=O)NC=C1,ACTIVE01,ABACT01_30,DNMT1 actives,alvaBuilder,1.0,O=c1cc(-c2ccc(C3CCN(c4ccc(CCO)c(O)c4)CC3)cc2)cc[nH]1
CCC(=O)Oc1cc(cc(c1)C(=O)NN=Cc1nn(cc1CCCOCC(C)CO)-c1ccccc1)O,ACTIVE01,ABACT01_31,DNMT1 actives,alvaBuilder,1.0,CCC(=O)Oc1cc(O)cc(C(=O)NN=Cc2nn(-c3ccccc3)cc2CCCOCC(C)CO)c1
CC1CCN(CC1)C1CCN(CC1)NCN(CC(=O)Nc1cccc(c1)-c1ccccc1Cl)C(=O)CO,ACTIVE01,ABACT01_32,DNMT1 actives,alvaBuilder,1.0,CC1CCN(C2CCN(NCN(CC(=O)Nc3cccc(-c4ccccc4Cl)c3)C(=O)CO)CC2)CC1
CC1CCN(CC1)CC(N)Cc1cc2nc(cc(c2cc1OCCCN1CCCC1)C1CCNCC1)O,ACTIVE01,ABACT01_33,DNMT1 actives,alvaBuilder,1.0,CC1CCN(CC(N)Cc2cc3[nH]c(=O)cc(C4CCNCC4)c3cc2OCCCN2CCCC2)CC1
CCN(CC(=O)Nc1cccc(c1)-n1cccc1)C(=O)c1ccc(cc1)O,ACTIVE01,ABACT01_34,DNMT1 actives,alvaBuilder,1.0,CCN(CC(=O)Nc1cccc(-n2cccc2)c1)C(=O)c1ccc(O)cc1
Oc1cccc(c1)C(CN1CCCC1)=NN(C=O)c1ccc(cc1)NC(=O)Cc1ccccc1,ACTIVE01,ABACT01_35,DNMT1 actives,alvaBuilder,1.0,O=CN(N=C(CN1CCCC1)c1cccc(O)c1)c1ccc(NC(=O)Cc2ccccc2)cc1
CC1CCN(CC1)Nc1cc2nc(cc(c2cc1OCCCCl)CO)C1CCOCC1,ACTIVE01,ABACT01_36,DNMT1 actives,alvaBuilder,1.0,CC1CCN(Nc2cc3nc(C4CCOCC4)cc(CO)c3cc2OCCCCl)CC1
CC1CCN(CC1)C1CCN(CC1)NCN(CC(=O)Nc1cccc(c1)-n1cccc1)C(=O)CO,ACTIVE01,ABACT01_37,DNMT1 actives,alvaBuilder,1.0,CC1CCN(C2CCN(NCN(CC(=O)Nc3cccc(-n4cccc4)c3)C(=O)CO)CC2)CC1
Cc1cc(c2cc(c(cc2n1)NN1CCC(CC1)c1ccc(cc1)ONC=O)OCCCN1CCCC1)CO,ACTIVE01,ABACT01_38,DNMT1 actives,alvaBuilder,1.0,Cc1cc(CO)c2cc(OCCCN3CCCC3)c(NN3CCC(c4ccc(ONC=O)cc4)CC3)cc2n1
CC1CC2(CCN(C2)Nc2cc3nc(cc(c3cc2OCCCN2CCCC2)CO)OC=O)C1,ACTIVE01,ABACT01_39,DNMT1 actives,alvaBuilder,1.0,CC1CC2(CCN(Nc3cc4nc(OC=O)cc(CO)c4cc3OCCCN3CCCC3)C2)C1
Cc1ccc(o1)-c1cc(c2cc(c(cc2n1)CCOC=O)OCCCC=O)CO,ACTIVE01,ABACT01_40,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(-c2cc(CO)c3cc(OCCCC=O)c(CCOC=O)cc3n2)o1
CCc1ccc(o1)C1C(SCC2CCNC2)C(O)OC1n1cnc2c(ncnc12)O,ACTIVE01,ABACT01_41,DNMT1 actives,alvaBuilder,1.0,CCc1ccc(C2C(SCC3CCNC3)C(O)OC2n2cnc3c(=O)[nH]cnc32)o1
COC(=O)CC1C2SCC(=C(Cl)N2C1=O)NC(=O)c1ccc(o1)COc1ccccc1Cl,ACTIVE01,ABACT01_42,DNMT1 actives,alvaBuilder,1.0,COC(=O)CC1C(=O)N2C(Cl)C(=NC(=O)c3ccc(COc4ccccc4Cl)o3)CSC12
CCOCCCCC(=O)Nn1c(c2c(c1Cc1ccccc1N1CCCC1)C=NN(C)C2=O)C,ACTIVE01,ABACT01_43,DNMT1 actives,alvaBuilder,1.0,CCOCCCCC(=O)Nn1c(Cc2ccccc2N2CCCC2)c2cnn(C)c(=O)c2c1C
CNCCONc1cc2nc(cc(c2cc1CN1CCCC1)CO)-c1ccc(o1)C,ACTIVE01,ABACT01_44,DNMT1 actives,alvaBuilder,1.0,CNCCONc1cc2nc(-c3ccc(C)o3)cc(CO)c2cc1CN1CCCC1
Cc1ccc(o1)C=CC(=O)Nc1cc(ccc1N(=O)=O)-c1ccc(o1)N1CCCC1,ACTIVE01,ABACT01_45,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(C=CC(=O)Nc2cc(-c3ccc(N4CCCC4)o3)ccc2[N+](=O)[O-])o1
O=C(CN(CC1CCNCC1)C(=O)Oc1cc2ccccc2o1)Nc1cccc(c1)-n1cccc1,ACTIVE01,ABACT01_46,DNMT1 actives,alvaBuilder,1.0,O=C(CN(CC1CCNCC1)C(=O)Oc1cc2ccccc2o1)Nc1cccc(-n2cccc2)c1
Cc1ccc(o1)-c1cc(c2cc(c(cc2n1)NCCCc1ccco1)OCCCN1CCC(F)C1)CO,ACTIVE01,ABACT01_47,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(-c2cc(CO)c3cc(OCCCN4CCC(F)C4)c(NCCCc4ccco4)cc3n2)o1
CC1CCN(CC1)CC(N)CC1C(C)C(OC1OCCCN1CCCC1)C1CCNCC1,ACTIVE01,ABACT01_48,DNMT1 actives,alvaBuilder,1.0,CC1CCN(CC(N)CC2C(OCCCN3CCCC3)OC(C3CCNCC3)C2C)CC1
Oc1cc(cc2c1CC(OC(=O)N1CCCC1)C(O2)N1CCCC1)N(=O)=O,ACTIVE01,ABACT01_49,DNMT1 actives,alvaBuilder,1.0,O=C(OC1Cc2c(O)cc([N+](=O)[O-])cc2OC1N1CCCC1)N1CCCC1
COCCCNc1cc2nc(cc(c2cc1OCCCN1CCCC1)CO)-c1cccc(c1)OC=O,ACTIVE01,ABACT01_50,DNMT1 actives,alvaBuilder,1.0,COCCCNc1cc2nc(-c3cccc(OC=O)c3)cc(CO)c2cc1OCCCN1CCCC1
Cc1ccc(o1)-c1cc(c2cc(c(cc2n1)NO)-c1cc2cc(ccc2o1)N1CCCC1)CO,ACTIVE01,ABACT01_51,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(-c2cc(CO)c3cc(-c4cc5cc(N6CCCC6)ccc5o4)c(NO)cc3n2)o1
O=CCCCCCCCCC1=CC(=O)C(=C(Nc2ccc(cc2)N2CCCC2)O1)C=O,ACTIVE01,ABACT01_52,DNMT1 actives,alvaBuilder,1.0,O=CCCCCCCCCc1cc(=O)c(C=O)c(Nc2ccc(N3CCCC3)cc2)o1
CC(CO)COCCCc1cn(nc1C=NNC(=O)c1cc(cc(c1)O)O)-c1ccccc1,ACTIVE01,ABACT01_53,DNMT1 actives,alvaBuilder,1.0,CC(CO)COCCCc1cn(-c2ccccc2)nc1C=NNC(=O)c1cc(O)cc(O)c1
OCCCOC1=CC(=CN2C(=O)c3c(scc3C3=CCCCC3)N=C12)Br,ACTIVE01,ABACT01_54,DNMT1 actives,alvaBuilder,1.0,O=c1c2c(C3=CCCCC3)csc2nc2c(OCCCO)cc(Br)cn12
Cc1ccc(o1)C=CC(=O)Nc1cc(ccc1-c1nn(c(c1O)O)O)-c1ccc(o1)N1CCCC1,ACTIVE01,ABACT01_55,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(C=CC(=O)Nc2cc(-c3ccc(N4CCCC4)o3)ccc2-c2[nH]n(O)c(=O)c2O)o1
OCc1c(cc(n1NN1CCC(F)CC1)OCCCN1CCC2(CC2)C1)-c1cc2ccccc2o1,ACTIVE01,ABACT01_56,DNMT1 actives,alvaBuilder,1.0,OCc1c(-c2cc3ccccc3o2)cc(OCCCN2CCC3(CC3)C2)n1NN1CCC(F)CC1
Oc1cc(cc(c1)S(=O)(=O)NOc1ccccc1Br)C(=O)NN=CCCCOCC1CC1,ACTIVE01,ABACT01_57,DNMT1 actives,alvaBuilder,1.0,O=C(NN=CCCCOCC1CC1)c1cc(O)cc(S(=O)(=O)NOc2ccccc2Br)c1
O=C(CN(CC1CCNCC1)C(=O)c1ccc(cc1)-c1ccco1)Nc1cc2c(cc1N1CCCC1)OCO2,ACTIVE01,ABACT01_58,DNMT1 actives,alvaBuilder,1.0,O=C(CN(CC1CCNCC1)C(=O)c1ccc(-c2ccco2)cc1)Nc1cc2c(cc1N1CCCC1)OCO2
Oc1cc(cc2c1CC(OC(=O)N1CCCC1)C(O2)N(=O)=O)N(=O)=O,ACTIVE01,ABACT01_59,DNMT1 actives,alvaBuilder,1.0,O=C(OC1Cc2c(O)cc([N+](=O)[O-])cc2OC1[N+](=O)[O-])N1CCCC1
CNC1OC(C(OCCCN2CCCC2)C1NN1CCC(C)CC1)c1ccc(c(c1)O)-c1ccc(o1)C,ACTIVE01,ABACT01_60,DNMT1 actives,alvaBuilder,1.0,CNC1OC(c2ccc(-c3ccc(C)o3)c(O)c2)C(OCCCN2CCCC2)C1NN1CCC(C)CC1
Cc1cc(nc2cc(c(cc12)OCCCN1CCCC1)NO)-c1cccc(c1)OC=O,ACTIVE01,ABACT01_61,DNMT1 actives,alvaBuilder,1.0,Cc1cc(-c2cccc(OC=O)c2)nc2cc(NO)c(OCCCN3CCCC3)cc12
Cc1ccc(o1)-c1cc(c2cc(c(cc2n1)NCCCC1CC1)OCCCN1CCC(F)C1)CO,ACTIVE01,ABACT01_62,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(-c2cc(CO)c3cc(OCCCN4CCC(F)C4)c(NCCCC4CC4)cc3n2)o1
Cc1ccc(o1)-c1cc(c2cc(c(cc2n1)NO)-c1ccc(o1)N1CCCC1)CO,ACTIVE01,ABACT01_63,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(-c2cc(CO)c3cc(-c4ccc(N5CCCC5)o4)c(NO)cc3n2)o1
CCC(=O)Oc1cc(c2cc(ccc2n1)-c1ccccc1NC(=O)C=Cc1ccc(o1)CO)O,ACTIVE01,ABACT01_64,DNMT1 actives,alvaBuilder,1.0,CCC(=O)Oc1cc(=O)c2cc(-c3ccccc3NC(=O)C=Cc3ccc(CO)o3)ccc2[nH]1
Nc1ccc(cc1)NCCOc1ccc(o1)COc1ccccc1Cl,ACTIVE01,ABACT01_65,DNMT1 actives,alvaBuilder,1.0,Nc1ccc(NCCOc2ccc(COc3ccccc3Cl)o2)cc1
OCc1cc(c2cc(c(cc2n1)NN1CCC(CC1)c1ccco1)-c1ccccc1N1CCCC1)O,ACTIVE01,ABACT01_66,DNMT1 actives,alvaBuilder,1.0,O=c1cc(CO)[nH]c2cc(NN3CCC(c4ccco4)CC3)c(-c3ccccc3N3CCCC3)cc12
Cc1ccc(o1)-c1cc(c2cc(c(cc2n1)Nc1cccc(c1)N)C(=O)ON1CCCC1)CO,ACTIVE01,ABACT01_67,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(-c2cc(C=O)c3cc(C(O)ON4CCCC4)c(Nc4cccc(N)c4)cc3n2)o1
Cc1ccc(o1)CN(CC(=O)NNn1cccc1)C(=O)Oc1cc2ccccc2o1,ACTIVE01,ABACT01_68,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(CN(CC(=O)NNn2cccc2)C(=O)Oc2cc3ccccc3o2)o1
OCCCNC(=O)CN(Cc1ccccc1)C(=O)Oc1cc2ccccc2o1,ACTIVE01,ABACT01_69,DNMT1 actives,alvaBuilder,1.0,O=C(CN(Cc1ccccc1)C(=O)Oc1cc2ccccc2o1)NCCCO
CCOCCCCC(=O)Nn1c(c2c(c1-c1cccs1)C(=O)N(C)N=C2)O,ACTIVE01,ABACT01_70,DNMT1 actives,alvaBuilder,1.0,CCOCCCCC(=O)Nn1c(O)c2cnn(C)c(=O)c2c1-c1cccs1
C1CCN(C1)c1cc(nc2ccccc12)-c1ncnc2c1ncn2CCCNc1ccccc1,ACTIVE02,ABACT02_01,DNMT1 actives,alvaBuilder,1.0,c1ccc(NCCCn2cnc3c(-c4cc(N5CCCC5)c5ccccc5n4)ncnc32)cc1
OCc1cc(nc2cc(c(cc12)OCCCN1CCCC1)CNO)OC(=O)CC=CC=CC=O,ACTIVE02,ABACT02_02,DNMT1 actives,alvaBuilder,1.0,O=CC=CC=CCC(=O)Oc1cc(CO)c2cc(OCCCN3CCCC3)c(CNO)cc2n1
CCc1ccc(o1)-c1cc(nc2cc(c(cc12)CO)CNC)OCCCO,ACTIVE02,ABACT02_03,DNMT1 actives,alvaBuilder,1.0,CCc1ccc(-c2cc(OCCCO)nc3cc(CNC)c(CO)cc23)o1
OCc1cc(nc2cc(c(cc12)OCN1CCCC1)Nc1ccco1)-c1ccc(o1)-c1ccco1,ACTIVE02,ABACT02_04,DNMT1 actives,alvaBuilder,1.0,OCc1cc(-c2ccc(-c3ccco3)o2)nc2cc(Nc3ccco3)c(OCN3CCCC3)cc12
CN1CCC(CC1)COc1cc2c(cc(nc2cc1ONC=O)-c1ccc(o1)C)CO,ACTIVE02,ABACT02_05,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(-c2cc(CO)c3cc(OCC4CCN(C)CC4)c(ONC=O)cc3n2)o1
CCCOC1N(C(CC=C1OC=O)S(N)(=O)=O)c1ccc(cc1)CC(C)C,ACTIVE02,ABACT02_06,DNMT1 actives,alvaBuilder,1.0,CCCOC1C(OC=O)=CCC(S(N)(=O)=O)N1c1ccc(CC(C)C)cc1
O=C(Cc1ccc(o1)OCCCc1cc(nc2ccccc12)-c1cccs1)NNN1CCCC1,ACTIVE02,ABACT02_07,DNMT1 actives,alvaBuilder,1.0,O=C(Cc1ccc(OCCCc2cc(-c3cccs3)nc3ccccc23)o1)NNN1CCCC1
OCC(=O)N(CC(=O)NCc1cc(c2ccccc2n1)ON1CCCCC1)Cc1ccco1,ACTIVE02,ABACT02_08,DNMT1 actives,alvaBuilder,1.0,O=C(CN(Cc1ccco1)C(=O)CO)NCc1cc(ON2CCCCC2)c2ccccc2n1
COCCCc1c([nH]c2ccccc12)OCC=C1NC(=O)N(C1=O)c1cccc(c1)Cl,ACTIVE02,ABACT02_09,DNMT1 actives,alvaBuilder,1.0,COCCCc1c(OC=Cc2[nH]c(=O)n(-c3cccc(Cl)c3)c2O)[nH]c2ccccc12
Cc1ccc(cc1)NS(=O)(=O)c1ccc(cc1COC=O)OCCCc1cccs1,ACTIVE02,ABACT02_10,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(NS(=O)(=O)c2ccc(OCCCc3cccs3)cc2COC=O)cc1
OCc1ccc2c(cc(nc2c1)C(=O)OOc1ccco1)OCCCN1CCCC1,ACTIVE02,ABACT02_11,DNMT1 actives,alvaBuilder,1.0,O=C(OOc1ccco1)c1cc(OCCCN2CCCC2)c2ccc(CO)cc2n1
COc1ccc(o1)-c1cc(c2cc(c(cc2n1)NN1CCC(C)CC1=O)CN1CCCC1)CO,ACTIVE02,ABACT02_12,DNMT1 actives,alvaBuilder,1.0,COc1ccc(-c2cc(CO)c3cc(CN4CCCC4)c(NN4CCC(C)CC4=O)cc3n2)o1
OCc1cc2c(cc(nc2cc1NCl)OCCCN1CCC2(CC2)C1)-c1ccc(o1)N1CCCC1,ACTIVE02,ABACT02_13,DNMT1 actives,alvaBuilder,1.0,OCc1cc2c(-c3ccc(N4CCCC4)o3)cc(OCCCN3CCC4(CC4)C3)nc2cc1NCl
OCNc1cc2nc(cc(c2cc1CO)-c1ccc(o1)N1CCCC1)OCCCN1CCC2(CC2)C1,ACTIVE02,ABACT02_14,DNMT1 actives,alvaBuilder,1.0,OCNc1cc2nc(OCCCN3CCC4(CC4)C3)cc(-c3ccc(N4CCCC4)o3)c2cc1CO
CNCc1ccc(cc1)-c1cccc(c1)N1CC2(CC1NC=O)CC(=NO2)CCC=CC=O,ACTIVE02,ABACT02_15,DNMT1 actives,alvaBuilder,1.0,CNCc1ccc(-c2cccc(N3CC4(CC(CCC=CC=O)=NO4)CC3NC=O)c2)cc1
O=C(CC#N)NC=C1SC(=O)N(CC(=O)c2ccc(cc2)-c2ccccc2)C1=O,ACTIVE02,ABACT02_16,DNMT1 actives,alvaBuilder,1.0,N#CCC(=O)N=Cc1sc(=O)n(CC(=O)c2ccc(-c3ccccc3)cc2)c1O
OCc1cc2nc(cc(c2cc1CO)-c1ccc(o1)N1CCCC1)OCCCN1CCC2(CC2)C1,ACTIVE02,ABACT02_17,DNMT1 actives,alvaBuilder,1.0,OCc1cc2nc(OCCCN3CCC4(CC4)C3)cc(-c3ccc(N4CCCC4)o3)c2cc1CO
CCCc1ccc2c(n1)C(=O)C(=C(N1CCCC1)C2=O)c1ccc(cc1)-c1cccc(c1)CCO,ACTIVE02,ABACT02_18,DNMT1 actives,alvaBuilder,1.0,CC=Cc1ccc2c(O)c(N3CCCC3)c(-c3ccc(-c4cccc(CCO)c4)cc3)c(O)c2n1
CC(Cc1cccc(c1)C(=O)OCC(=O)NCc1cccc(c1)Br)Cc1ccco1,ACTIVE02,ABACT02_19,DNMT1 actives,alvaBuilder,1.0,CC(Cc1cccc(C(=O)OCC(=O)NCc2cccc(Br)c2)c1)Cc1ccco1
Cc1ccc(o1)-c1cc(c2cc(c(cc2n1)CNO)OCCCN1CCCC1)-c1ccc(cc1)O,ACTIVE02,ABACT02_20,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(-c2cc(-c3ccc(O)cc3)c3cc(OCCCN4CCCC4)c(CNO)cc3n2)o1
OCc1cc2nc(cc(c2cc1CO)CCCNO)OCCCBr,ACTIVE02,ABACT02_21,DNMT1 actives,alvaBuilder,1.0,OCc1cc2nc(OCCCBr)cc(CCCNO)c2cc1CO
O=C(Nc1ccc(cc1)NCCCOCCCONc1ccc(cc1)N1CCCC1)c1ccco1,ACTIVE02,ABACT02_22,DNMT1 actives,alvaBuilder,1.0,O=C(Nc1ccc(NCCCOCCCONc2ccc(N3CCCC3)cc2)cc1)c1ccco1
OCCNc1ccc(cc1)C1=C(N2CCCC2)C(=O)c2ccc(nc2C1=O)NCO,ACTIVE02,ABACT02_23,DNMT1 actives,alvaBuilder,1.0,O=CN=c1ccc2c(O)c(N3CCCC3)c(-c3ccc(NCCO)cc3)c(O)c2[nH]1
OCc1ccc(cc1)NC1CCN(CC1)NCc1cc(nc2cc(c(cc12)N1CCCC1)CO)CO,ACTIVE02,ABACT02_24,DNMT1 actives,alvaBuilder,1.0,OCc1ccc(NC2CCN(NCc3cc(CO)nc4cc(CO)c(N5CCCC5)cc34)CC2)cc1
Nc1cc(nc2cc(c(cc12)-c1ccco1)CNCCCCCO)CCCO,ACTIVE02,ABACT02_25,DNMT1 actives,alvaBuilder,1.0,N=c1cc(CCCO)[nH]c2cc(CNCCCCCO)c(-c3ccco3)cc12
OCc1cc(nc2cc(c(cc12)NC(=O)Cc1cccs1)CNCCCc1ccco1)N1CCCC1,ACTIVE02,ABACT02_26,DNMT1 actives,alvaBuilder,1.0,O=C(Cc1cccs1)Nc1cc2c(CO)cc(N3CCCC3)nc2cc1CNCCCc1ccco1
Clc1ccccc1S(=O)(=O)Nc1cc(ncn1)Nc1cccs1,ACTIVE02,ABACT02_27,DNMT1 actives,alvaBuilder,1.0,O=S(=O)(N=c1cc(Nc2cccs2)[nH]cn1)c1ccccc1Cl
Oc1cc(cc(c1O)O)-c1cc2c(c(c1)-c1ccco1)CCC(NCC=CC=CC=O)O2,ACTIVE02,ABACT02_28,DNMT1 actives,alvaBuilder,1.0,O=CCC=CCC=NC1CCc2c(cc(-c3cc(O)c(O)c(O)c3)cc2-c2ccco2)O1
